episode,scramble,solved,steps,reward,epsilon,solve_rate,avg_steps,avg_reward,total_solves,best_streak,tile_accuracy
2230,3,false,25,-5.0000,0.800266,0.1600,21.40,13.0552,214,4,0.1667
2240,3,true,1,100.0000,0.799386,0.1700,21.16,13.9968,215,4,0.3333
2250,3,false,25,-3.3333,0.798587,0.1600,21.40,12.9802,215,4,0.0833
2260,3,true,3,99.8000,0.797869,0.1800,20.94,15.1448,217,4,1.0000
2270,3,false,25,-3.7500,0.796991,0.1800,20.90,14.9947,220,4,0.0417
2280,3,true,1,100.0000,0.796274,0.1700,21.10,13.8570,222,4,0.3333
2290,3,false,25,-4.1667,0.795399,0.1500,21.56,11.8382,222,4,0.0833
2300,3,false,25,-2.9167,0.794604,0.1400,21.68,10.8585,224,4,0.2083
2310,3,false,25,-0.8333,0.793810,0.1300,21.92,9.8710,224,4,0.3333
2320,3,false,25,-0.4167,0.793096,0.1500,21.46,12.0107,227,4,0.3750
2330,3,false,25,-3.7500,0.792224,0.1500,21.46,12.0315,229,4,0.2500
2340,3,false,25,-2.9167,0.791511,0.1600,21.22,13.0523,231,4,0.1250
2350,3,false,25,-5.4167,0.790641,0.1700,21.00,14.0545,232,4,0.1250
2360,3,false,25,-3.3333,0.789850,0.1500,21.46,11.8732,232,4,0.1250
2370,3,false,25,-7.0833,0.789140,0.1200,22.18,8.6065,232,4,0.2083
2380,3,false,25,-7.9167,0.788272,0.1100,22.44,7.5170,233,4,0.1250
2390,3,false,25,-1.6667,0.787484,0.1200,22.20,8.4962,234,4,0.2500
2400,3,false,25,-8.3333,0.786776,0.1000,22.68,6.4045,234,4,0.0833
2410,3,false,25,-5.4167,0.785989,0.1200,22.24,8.4047,236,4,0.0833
2420,3,false,25,-2.5000,0.785125,0.0900,22.94,5.0900,236,4,0.1667
2430,3,false,25,-3.3333,0.784340,0.0900,22.92,5.1045,238,4,0.3333
2440,3,false,25,-2.0833,0.783556,0.0800,23.16,4.0087,239,4,0.2500
